year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id
2014,106190883,WHITTIER HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,4547.0,23783.0,0.3297757724418216,whittier-hospital-medical-center
2014,106190949,HENRY MAYO NEWHALL HOSPITAL,LOS ANGELES,BASIC,9430.0,47626.0,0.6603835066355883,henry-mayo-newhall-hospital
2014,106191227,LAC/HARBOR-UCLA MEDICAL CENTER,LOS ANGELES,BASIC,13703.0,38194.0,0.5295991192298253,lacharbor-ucla-medical-center
2014,106191228,LAC+USC MEDICAL CENTER,LOS ANGELES,COMPREHENSIVE,22974.0,118712.0,1.6460640582816939,lacusc-medical-center
2014,106191231,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,LOS ANGELES,BASIC,8950.0,54023.0,0.7490844954221305,los-angeles-county-olive-view-ucla-medical-center
2014,106191450,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,LOS ANGELES,BASIC,5208.0,34356.0,0.4763812991637398,kaiser-foundation-hospital---woodland-hills
2014,106196035,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,LOS ANGELES,BASIC,6980.0,70751.0,0.9810354318644124,kaiser-foundation-hospital---baldwin-park
2014,106196403,KAISER FOUNDATION HOSPITAL - DOWNEY,LOS ANGELES,BASIC,9609.0,82075.0,1.138054346514843,kaiser-foundation-hospital---downey
2014,106196405,PALMDALE REGIONAL MEDICAL CENTER,LOS ANGELES,BASIC,6988.0,59815.0,0.8293965365432266,palmdale-regional-medical-center
2014,106201281,MADERA COMMUNITY HOSPITAL,MADERA,BASIC,2159.0,37349.0,0.5178823245565991,madera-community-hospital
2014,106204019,VALLEY CHILDREN'S HOSPITAL,MADERA,BASIC,8135.0,93278.0,1.2933954716321843,valley-childrens-hospital
2014,106210992,KAISER FOUNDATION HOSPITAL - SAN RAFAEL,MARIN,BASIC,2822.0,22983.0,0.3186829490825542,kaiser-foundation-hospital---san-rafael
2014,106211006,MARIN GENERAL HOSPITAL,MARIN,BASIC,5191.0,30149.0,0.4180469143231922,marin-general-hospital
2014,106214034,NOVATO COMMUNITY HOSPITAL,MARIN,BASIC,1081.0,12895.0,0.1788024465221919,novato-community-hospital
2014,106220733,JOHN C FREMONT HEALTHCARE DISTRICT,MARIPOSA,STANDBY,153.0,5412.0,0.07504295002544417,john-c-fremont-healthcare-district
2014,106230949,FRANK R HOWARD MEMORIAL HOSPITAL,MENDOCINO,STANDBY,737.0,8016.0,0.11115009005985965,frank-r-howard-memorial-hospital
2014,106231013,MENDOCINO COAST DISTRICT HOSPITAL,MENDOCINO,STANDBY,687.0,9094.0,0.12609766953647253,mendocino-coast-district-hospital
2014,106231396,ADVENTIST HEALTH UKIAH VALLEY,MENDOCINO,BASIC,2328.0,21989.0,0.3049001160586644,adventist-health-ukiah-valley
2014,106240924,MEMORIAL HOSPITAL LOS BANOS,MERCED,BASIC,731.0,29788.0,0.41304127778232275,memorial-hospital-los-banos
2014,106240942,MERCY MEDICAL CENTER - MERCED,MERCED,BASIC,5788.0,59931.0,0.8310049959303205,mercy-medical-center---merced
2014,106250955,SURPRISE VALLEY COMMUNITY HOSPITAL,MODOC,STANDBY,5.0,340.0,0.0047144499276886576,surprise-valley-community-hospital
2014,106250956,MODOC MEDICAL CENTER,MODOC,STANDBY,139.0,3829.0,0.05309302580329374,modoc-medical-center
